Timestamp,BI
1738272419.9873,615
1738272420.60253,521
1738272421.03538,615
1738272421.55635,615
1738272422.38864,675
1738272423.06327,743
1738272424.1073,743
1738272424.85079,675
1738272425.27209,743
1738272425.72047,743
1738272426.50564,448
1738272427.28629,571
1738272427.65548,781
1738272428.22669,726
1738272429.01248,571
1738272429.73896,571
1738272430.29361,626
1738272430.80044,626
1738272431.42629,580
1738272432.16481,626
1738272432.74523,626
1738272433.49545,580
1738272434.05354,580
1738272434.54428,558
1738272435.36731,491
1738272435.79077,491
1738272436.22313,760
1738272436.98276,432
1738272438.27485,760
1738272438.60741,760
1738272439.43113,399
1738272439.83017,399
1738272440.19979,399
1738272440.65413,399
1738272441.03348,454
1738272441.79832,693
1738272442.49152,693
1738272443.36655,742
1738272444.03179,742
1738272444.77414,774
1738272445.72662,742
1738272446.50074,774
1738272447.15266,774
1738272448.01729,652
1738272448.49181,652
1738272448.89438,767
1738272449.72752,767
1738272450.4944,767
1738272451.33688,795
1738272452.00872,795
1738272452.80353,795
1738272453.84707,795
1738272454.50522,795
1738272455.44458,853
1738272455.97675,790
1738272456.8294,790
1738272457.61898,790
1738272458.401,853
1738272459.32023,919
1738272461.65299,919
1738272462.65453,919
1738272463.41961,765
1738272463.94397,706
1738272464.64009,696
1738272465.34641,696
1738272466.0129,706
1738272466.76092,740
1738272467.50068,748
1738272468.26263,748
1738272469.01066,740
1738272469.74075,730
1738272470.36663,730
1738272470.87356,730
1738272472.13562,755
1738272472.96226,755
1738272473.71692,755
1738272474.23366,746
1738272474.57895,746
1738272475.32451,746
1738272476.20021,844
1738272477.04457,844
1738272477.91109,844
1738272478.26097,844
1738272478.72898,468
1738272480.03186,468
1738272480.42312,707
1738272481.3025,879
1738272482.00952,707
1738272483.64616,707
1738272484.016,707
1738272484.48112,823
1738272485.30448,465
1738272486.25248,823
1738272486.57445,898
1738272487.98856,898
1738272488.88632,898
1738272489.73135,898
1738272490.69064,898
1738272491.5049,845
1738272492.73059,832
1738272493.25706,814
1738272494.08868,832
1738272494.44942,526
1738272495.73373,832
1738272496.19878,867
1738272497.42968,867
1738272498.29621,867
1738272499.10923,867
1738272500.00806,813
1738272500.49736,517
1738272501.01411,489
1738272501.38163,489
1738272501.76281,517
1738272502.66034,687
1738272503.34696,807
1738272504.38794,898
