LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
1738272024.823926,994238.000,18988,1,TL,1,100,2025-01-30_14-20-24-813661
1738272029.911079,999325.000,19777,1,TL,1,100,2025-01-30_14-20-24-996213
1738272035.039234,1004453.000,20570,1,TL,1,100,2025-01-30_14-20-30-018724
1738272035.042234,1004456.000,20572,1,TL,1,100,2025-01-30_14-20-30-056847
1738272035.071235,1004485.000,20575,1,TL,1,100,2025-01-30_14-20-35-060158
1738272040.147388,1009561.000,21364,1,TL,1,100,2025-01-30_14-20-35-147634
1738272040.172389,1009586.000,21367,1,TL,1,100,2025-01-30_14-20-40-164349
1738272045.279543,1014693.000,22172,1,TL,1,100,2025-01-30_14-20-40-205503
1738272045.296543,1014710.000,22175,1,TL,1,100,2025-01-30_14-20-45-288704
1738272050.387697,1019801.000,22968,1,TL,1,100,2025-01-30_14-20-45-422219
1738272055.527852,1024941.000,23761,1,TL,1,100,2025-01-30_14-20-50-396885
1738272055.530852,1024944.000,23763,1,TL,1,100,2025-01-30_14-20-50-528250
1738272055.549853,1024963.000,23766,1,TL,1,100,2025-01-30_14-20-55-539105
1738272060.635006,1030048.000,24560,1,TL,1,100,2025-01-30_14-20-55-629832
1738272060.662007,1030075.000,24563,1,TL,1,100,2025-01-30_14-21-00-646945
1738272065.743160,1035156.000,25355,1,TL,1,100,2025-01-30_14-21-00-712673
1738272065.768161,1035181.000,25358,1,TL,1,100,2025-01-30_14-21-05-758713
1738272070.852314,1040265.000,26147,1,TL,1,100,2025-01-30_14-21-05-796947
1738272075.974469,1045387.000,26932,1,TL,1,100,2025-01-30_14-21-10-996276
1738272075.980469,1045393.000,26934,1,TL,1,100,2025-01-30_14-21-11-013563
1738272076.061471,1045474.000,26937,1,TL,1,100,2025-01-30_14-21-16-050392
1738272081.082623,1050495.000,27722,1,TL,1,100,2025-01-30_14-21-16-092432
1738272081.113624,1050526.000,27725,1,TL,1,100,2025-01-30_14-21-21-104837
1738272086.193777,1055606.000,28516,1,TL,1,100,2025-01-30_14-21-21-175981
1738272086.210778,1055623.000,28519,1,TL,1,100,2025-01-30_14-21-26-202718
1738272091.301931,1060714.000,29310,1,TL,1,100,2025-01-30_14-21-26-303548
