LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BI
1738272289.100897,1258507,59936,1,BI,1,100,950
1738272291.443968,1260850,60302,1,BI,1,100,2320
1738272292.353995,1261760,60444,1,BI,1,100,910
1738272292.466999,1261873,60462,1,BI,1,100,110
1738272292.537001,1261943,60464,1,BI,1,100,70
1738272294.897072,1264303,60839,1,BI,1,100,2330
1738272296.777129,1266183,61129,1,BI,1,100,1870
1738272297.917163,1267323,61302,1,BI,1,100,1120
1738272299.150200,1268556,61491,1,BI,1,100,1230
1738272300.250234,1269656,61664,1,BI,1,100,1090
1738272301.276264,1270682,61824,1,BI,1,100,1010
1738272303.620335,1273026,62173,1,BI,1,100,2320
1738272304.633366,1274039,62331,1,BI,1,100,1010
1738272307.779461,1277185,62823,1,BI,1,100,3110
1738272308.952496,1278358,63011,1,BI,1,100,1160
1738272310.016528,1279422,63168,1,BI,1,100,1060
1738272310.262536,1279668,63218,1,BI,1,100,240
1738272311.282566,1280688,63361,1,BI,1,100,1010
1738272312.475602,1281881,63556,1,BI,1,100,1180
1738272313.385630,1282791,63699,1,BI,1,100,900
1738272314.535664,1283941,63871,1,BI,1,100,1140
1738272315.442692,1284848,64014,1,BI,1,100,900
1738272316.362720,1285768,64157,1,BI,1,100,910
1738272317.455753,1286861,64319,1,BI,1,100,1080
1738272318.411781,1287817,64476,1,BI,1,100,950
1738272318.535785,1287941,64494,1,BI,1,100,120
1738272319.338809,1288744,64620,1,BI,1,100,800
1738272320.448843,1289854,64794,1,BI,1,100,1100
1738272321.511875,1290917,64953,1,BI,1,100,1050
1738272322.614908,1292020,65134,1,BI,1,100,1090
1738272323.571937,1292977,65276,1,BI,1,100,950
1738272324.714972,1294120,65449,1,BI,1,100,1130
1738272325.948009,1295353,105,1,BI,1,100,1220
1738272327.035041,1296440,277,1,BI,1,100,1080
1738272328.001070,1297406,440,1,BI,1,100,950
1738272328.938099,1298343,582,1,BI,1,100,930
1738272329.868127,1299273,724,1,BI,1,100,920
1738272330.711152,1300116,852,1,BI,1,100,840
1738272331.601179,1301006,995,1,BI,1,100,880
1738272332.644211,1302049,1158,1,BI,1,100,1030
1738272333.611240,1303016,1316,1,BI,1,100,960
1738272336.387324,1305792,1740,1,BI,1,100,2750
1738272341.024463,1310429,2450,1,BI,1,100,4590
1738272342.007493,1311412,2607,1,BI,1,100,970
1738272343.823548,1313228,2895,1,BI,1,100,1800
1738272344.806577,1314211,3053,1,BI,1,100,980
1738272346.040615,1315445,3244,1,BI,1,100,1220
1738272346.950642,1316355,3386,1,BI,1,100,900
1738272347.879670,1317284,3533,1,BI,1,100,920
1738272349.029705,1318434,3706,1,BI,1,100,1140
1738272350.836759,1320241,3991,1,BI,1,100,1790
1738272351.029765,1320434,4024,1,BI,1,100,190
1738272351.816789,1321221,4135,1,BI,1,100,780
1738272352.906822,1322311,4313,1,BI,1,100,1080
1738272353.982854,1323387,4485,1,BI,1,100,1060
1738272355.172890,1324577,4660,1,BI,1,100,1180
1738272357.458959,1326863,5021,1,BI,1,100,2260
1738272358.929003,1328333,5245,1,BI,1,100,1460
1738272361.779089,1331183,5686,1,BI,1,100,2820
1738272362.739118,1332143,5828,1,BI,1,100,950
1738272363.839152,1333243,6006,1,BI,1,100,1090
1738272365.136191,1334540,6196,1,BI,1,100,1290
1738272367.292256,1336696,6541,1,BI,1,100,2130
1738272368.062279,1337466,6661,1,BI,1,100,760
1738272369.142312,1338546,6833,1,BI,1,100,1070
1738272370.135341,1339539,6991,1,BI,1,100,990
1738272371.085370,1340489,7136,1,BI,1,100,940
1738272371.525383,1340929,7200,1,BI,1,100,430
1738272373.798452,1343202,7564,1,BI,1,100,2250
1738272374.864484,1344268,7722,1,BI,1,100,1060
1738272375.634507,1345038,7848,1,BI,1,100,760
1738272376.394530,1345798,7962,1,BI,1,100,760
1738272377.041550,1346445,8072,1,BI,1,100,640
1738272378.001579,1347405,8214,1,BI,1,100,950
1738272379.231616,1348635,8409,1,BI,1,100,1210
1738272380.004639,1349408,8536,1,BI,1,100,770
1738272381.374681,1350778,8742,1,BI,1,100,1360
1738272383.430743,1352834,9060,1,BI,1,100,2030
1738272387.687871,1357091,9718,1,BI,1,100,4220
1738272388.546897,1357950,9849,1,BI,1,100,850
1738272390.026942,1359430,10086,1,BI,1,100,1460
1738272390.553957,1359957,10165,1,BI,1,100,530
1738272392.360012,1361763,10449,1,BI,1,100,1790
1738272393.244039,1362647,10575,1,BI,1,100,870
1738272393.823056,1363226,10676,1,BI,1,100,570
1738272395.197097,1364600,10881,1,BI,1,100,1360
1738272396.000122,1365403,11009,1,BI,1,100,800
1738272397.763175,1367166,11262,1,BI,1,100,1750
1738272398.303191,1367706,11357,1,BI,1,100,530
1738272402.153307,1371556,11942,1,BI,1,100,3810
1738272402.776326,1372179,12038,1,BI,1,100,620
1738272403.653352,1373056,12180,1,BI,1,100,870
1738272405.356404,1374759,12452,1,BI,1,100,1680
1738272407.902481,1377305,12845,1,BI,1,100,2530
1738272409.452527,1378855,13069,1,BI,1,100,1530
1738272413.032635,1382435,13618,1,BI,1,100,3550
1738272413.825659,1383228,13745,1,BI,1,100,780
1738272415.345705,1384748,13970,1,BI,1,100,1510
1738272416.318734,1385721,14130,1,BI,1,100,960
1738272416.824750,1386227,14210,1,BI,1,100,500
1738272417.944783,1387347,14383,1,BI,1,100,1110
1738272418.451799,1387854,14463,1,BI,1,100,500
1738272419.718837,1389121,14657,1,BI,1,100,1260
1738272420.274854,1389677,14737,1,BI,1,100,550
1738272422.894933,1392297,15146,1,BI,1,100,2590
