LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GY
1738257283.613818,1773841.000,19415,2,GY,1,100,0.244
1738257283.653820,1773881.000,19415,2,GY,1,100,0.671
1738257283.698155,1773925.333,19433,3,GY,1,100,0.366
1738257283.742491,1773969.667,19433,3,GY,1,100,0.122
1738257283.786826,1774014.000,19433,3,GY,1,100,0.458
1738257283.826828,1774054.000,19449,2,GY,1,100,0.214
1738257283.866830,1774094.000,19449,2,GY,1,100,0.549
1738257283.906832,1774134.000,19465,3,GY,1,100,0.305
1738257283.946834,1774174.000,19465,3,GY,1,100,0.031
1738257283.986835,1774214.000,19465,3,GY,1,100,0.641
1738257284.026837,1774254.000,19482,2,GY,1,100,0.702
1738257284.066839,1774294.000,19482,2,GY,1,100,0.122
1738257284.106841,1774334.000,19499,3,GY,1,100,1.068
1738257284.146843,1774374.000,19499,3,GY,1,100,0.854
1738257284.186845,1774414.000,19499,3,GY,1,100,0.122
1738257284.226846,1774454.000,19515,2,GY,1,100,0.153
1738257284.266848,1774494.000,19515,2,GY,1,100,0.977
1738257284.306850,1774534.000,19531,3,GY,1,100,0.641
1738257284.346852,1774574.000,19531,3,GY,1,100,0.916
1738257284.386854,1774614.000,19531,3,GY,1,100,0.183
1738257284.426856,1774654.000,19548,2,GY,1,100,-0.092
1738257284.466857,1774694.000,19548,2,GY,1,100,0.244
1738257284.506859,1774734.000,19565,3,GY,1,100,0.366
1738257284.546861,1774774.000,19565,3,GY,1,100,0.458
1738257284.586863,1774814.000,19565,3,GY,1,100,0.671
1738257284.626865,1774854.000,19581,2,GY,1,100,0.671
1738257284.666866,1774894.000,19581,2,GY,1,100,0.397
1738257284.706868,1774934.000,19598,3,GY,1,100,0.671
1738257284.746870,1774974.000,19598,3,GY,1,100,0.366
1738257284.786872,1775014.000,19598,3,GY,1,100,0.854
1738257284.826874,1775054.000,19614,3,GY,1,100,0.183
1738257284.866876,1775094.000,19614,3,GY,1,100,0.580
1738257284.906877,1775134.000,19614,3,GY,1,100,0.000
1738257284.946879,1775174.000,19631,2,GY,1,100,0.183
1738257284.986881,1775214.000,19631,2,GY,1,100,0.702
1738257285.026883,1775254.000,19648,3,GY,1,100,0.031
1738257285.066885,1775294.000,19648,3,GY,1,100,0.610
1738257285.106886,1775334.000,19648,3,GY,1,100,1.190
1738257285.146888,1775374.000,19665,2,GY,1,100,-0.153
1738257285.186890,1775414.000,19665,2,GY,1,100,0.916
1738257285.226892,1775454.000,19680,3,GY,1,100,1.129
1738257285.266894,1775494.000,19680,3,GY,1,100,-0.183
1738257285.306896,1775534.000,19680,3,GY,1,100,0.916
1738257285.346897,1775574.000,19698,2,GY,1,100,0.092
1738257285.386899,1775614.000,19698,2,GY,1,100,-0.031
1738257285.426901,1775654.000,19714,3,GY,1,100,0.946
1738257285.466903,1775694.000,19714,3,GY,1,100,-0.061
1738257285.506905,1775734.000,19714,3,GY,1,100,0.092
1738257285.546906,1775774.000,19731,2,GY,1,100,0.183
1738257285.586908,1775814.000,19731,2,GY,1,100,0.610
1738257285.626910,1775854.000,19746,3,GY,1,100,0.580
1738257285.666912,1775894.000,19746,3,GY,1,100,0.977
1738257285.706914,1775934.000,19746,3,GY,1,100,0.885
1738257285.746916,1775974.000,19764,2,GY,1,100,0.641
1738257285.786917,1776014.000,19764,2,GY,1,100,0.031
1738257285.826919,1776054.000,19780,3,GY,1,100,0.519
1738257285.866921,1776094.000,19780,3,GY,1,100,0.610
1738257285.906923,1776134.000,19780,3,GY,1,100,0.305
1738257285.946591,1776173.667,19797,3,GY,1,100,0.580
1738257285.986260,1776213.333,19797,3,GY,1,100,0.214
1738257286.025928,1776253.000,19797,3,GY,1,100,0.580
1738257286.065930,1776293.000,19813,2,GY,1,100,0.458
1738257286.105932,1776333.000,19813,2,GY,1,100,0.641
1738257286.146267,1776373.333,19830,3,GY,1,100,0.641
1738257286.186602,1776413.667,19830,3,GY,1,100,0.458
1738257286.226938,1776454.000,19830,3,GY,1,100,0.519
1738257286.266439,1776493.500,19846,2,GY,1,100,0.427
1738257286.305941,1776533.000,19846,2,GY,1,100,0.610
1738257286.346276,1776573.333,19864,3,GY,1,100,0.366
1738257286.386611,1776613.667,19864,3,GY,1,100,0.427
