LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,DC
1738257290.788646,1781015.500,20574,4,DC,2,100,EL
1738257290.815147,1781042.000,20574,4,DC,2,100,1
1738257290.839148,1781066.000,20591,4,DC,2,100,EA
1738257290.863149,1781090.000,20591,4,DC,2,100,2
1738257290.887150,1781114.000,20591,4,DC,2,100,EL
1738257290.911151,1781138.000,20591,4,DC,2,100,2
1738257290.936903,1781163.750,20606,4,DC,2,100,EA
1738257290.962654,1781189.500,20606,4,DC,2,100,2
1738257290.988405,1781215.250,20606,4,DC,2,100,EL
1738257291.014156,1781241.000,20606,4,DC,2,100,2
1738257291.039407,1781266.250,20624,4,DC,2,100,EA
1738257291.064658,1781291.500,20624,4,DC,2,100,1
1738257291.089910,1781316.750,20624,4,DC,2,100,EL
1738257291.115161,1781342.000,20624,4,DC,2,100,1
1738257291.140162,1781367.000,20640,4,DC,2,100,EA
1738257291.165163,1781392.000,20640,4,DC,2,100,2
1738257291.190164,1781417.000,20640,4,DC,2,100,EL
1738257291.215165,1781442.000,20640,4,DC,2,100,2
1738257291.240417,1781467.250,20657,4,DC,2,100,EA
1738257291.265668,1781492.500,20657,4,DC,2,100,1
1738257291.290919,1781517.750,20657,4,DC,2,100,EL
1738257291.316170,1781543.000,20657,4,DC,2,100,1
1738257291.341671,1781568.500,20673,4,DC,2,100,EA
1738257291.367172,1781594.000,20673,4,DC,2,100,2
1738257291.392673,1781619.500,20673,4,DC,2,100,EL
1738257291.418175,1781645.000,20673,4,DC,2,100,2
1738257291.443926,1781670.750,20690,4,DC,2,100,EA
1738257291.469677,1781696.500,20690,4,DC,2,100,1
1738257291.495428,1781722.250,20690,4,DC,2,100,EL
1738257291.521179,1781748.000,20690,4,DC,2,100,1
1738257291.547681,1781774.500,20706,4,DC,2,100,EA
1738257291.574182,1781801.000,20706,4,DC,2,100,2
1738257291.600683,1781827.500,20706,4,DC,2,100,EL
1738257291.627184,1781854.000,20706,4,DC,2,100,2
1738257291.651685,1781878.500,20723,4,DC,2,100,EA
1738257291.676186,1781903.000,20723,4,DC,2,100,1
1738257291.700687,1781927.500,20723,4,DC,2,100,EL
1738257291.725189,1781952.000,20723,4,DC,2,100,1
1738257291.750940,1781977.750,20743,4,DC,2,100,EA
1738257291.776691,1782003.500,20743,4,DC,2,100,2
1738257291.802442,1782029.250,20743,4,DC,2,100,EL
1738257291.828193,1782055.000,20743,4,DC,2,100,2
1738257291.853194,1782080.000,20760,4,DC,2,100,EA
1738257291.878196,1782105.000,20760,4,DC,2,100,1
1738257291.903197,1782130.000,20760,4,DC,2,100,EL
1738257291.928198,1782155.000,20760,4,DC,2,100,1
1738257291.953449,1782180.250,20776,4,DC,2,100,EA
1738257291.978700,1782205.500,20776,4,DC,2,100,2
1738257292.003951,1782230.750,20776,4,DC,2,100,EL
1738257292.029202,1782256.000,20776,4,DC,2,100,2
1738257292.055454,1782282.250,20794,4,DC,2,100,EA
1738257292.081705,1782308.500,20794,4,DC,2,100,1
1738257292.107956,1782334.750,20794,4,DC,2,100,EL
1738257292.134207,1782361.000,20794,4,DC,2,100,1
1738257292.158458,1782385.250,20809,4,DC,2,100,EA
1738257292.182709,1782409.500,20809,4,DC,2,100,2
1738257292.206961,1782433.750,20809,4,DC,2,100,EL
1738257292.231212,1782458.000,20809,4,DC,2,100,2
1738257292.256963,1782483.750,20826,4,DC,2,100,EA
1738257292.282714,1782509.500,20826,4,DC,2,100,1
1738257292.308465,1782535.250,20826,4,DC,2,100,EL
1738257292.334216,1782561.000,20826,4,DC,2,100,1
1738257292.359468,1782586.250,20843,4,DC,2,100,EA
1738257292.384719,1782611.500,20843,4,DC,2,100,2
1738257292.409970,1782636.750,20843,4,DC,2,100,EL
1738257292.435221,1782662.000,20843,4,DC,2,100,2
