LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1738260745.272753,597805.000,28459,2,EL,1,100,-13299.799805
1738260745.339756,597872.000,28459,2,EL,1,100,-13300.000000
1738260745.405759,597938.000,28475,1,EL,1,100,-13300.799805
1738260745.472761,598005.000,28491,2,EL,1,100,-13301.799805
1738260745.539764,598072.000,28491,2,EL,1,100,-13302.599609
1738260745.606766,598139.000,28506,1,EL,1,100,-13303.799805
1738260745.673269,598205.500,28525,2,EL,1,100,-13304.000000
1738260745.739771,598272.000,28525,2,EL,1,100,-13304.000000
1738260745.805774,598338.000,28539,1,EL,1,100,-13305.000000
1738260745.872776,598405.000,28555,2,EL,1,100,-13306.400391
1738260745.939779,598472.000,28555,2,EL,1,100,-13307.000000
1738260746.006281,598538.500,28573,2,EL,1,100,-13307.799805
1738260746.072784,598605.000,28573,2,EL,1,100,-13308.599609
1738260746.139786,598672.000,28591,1,EL,1,100,-13309.200195
1738260746.206289,598738.500,28605,2,EL,1,100,-13310.400391
1738260746.272791,598805.000,28605,2,EL,1,100,-13310.799805
1738260746.339794,598872.000,28621,1,EL,1,100,-13310.200195
1738260746.406296,598938.500,28637,2,EL,1,100,-13311.400391
1738260746.472799,599005.000,28637,2,EL,1,100,-13312.599609
1738260746.539802,599072.000,28653,1,EL,1,100,-13313.200195
1738260746.606304,599138.500,28669,2,EL,1,100,-13313.200195
1738260746.672807,599205.000,28669,2,EL,1,100,-13314.000000
1738260746.739809,599272.000,28686,1,EL,1,100,-13314.599609
1738260746.806312,599338.500,28701,2,EL,1,100,-13315.400391
1738260746.872814,599405.000,28701,2,EL,1,100,-13316.000000
1738260746.939817,599472.000,28717,1,EL,1,100,-13316.000000
1738260747.006319,599538.500,28732,2,EL,1,100,-13316.000000
1738260747.072822,599605.000,28732,2,EL,1,100,-13316.599609
1738260747.138824,599671.000,28748,1,EL,1,100,-13317.400391
1738260747.205827,599738.000,28763,2,EL,1,100,-13318.000000
1738260747.272829,599805.000,28763,2,EL,1,100,-13319.000000
1738260747.339832,599872.000,28779,1,EL,1,100,-13319.200195
1738260747.406334,599938.500,28796,2,EL,1,100,-13320.000000
1738260747.472837,600005.000,28796,2,EL,1,100,-13320.400391
1738260747.539840,600072.000,28812,1,EL,1,100,-13321.000000
1738260747.606342,600138.500,28827,2,EL,1,100,-13321.000000
1738260747.672845,600205.000,28827,2,EL,1,100,-13322.000000
1738260747.739847,600272.000,28844,1,EL,1,100,-13322.599609
1738260747.806350,600338.500,28860,2,EL,1,100,-13324.000000
1738260747.872852,600405.000,28860,2,EL,1,100,-13324.200195
1738260747.938855,600471.000,28876,1,EL,1,100,-13324.599609
1738260748.005857,600538.000,28892,2,EL,1,100,-13325.599609
1738260748.072860,600605.000,28892,2,EL,1,100,-13325.799805
1738260748.139862,600672.000,28908,1,EL,1,100,-13326.200195
1738260748.206365,600738.500,28923,2,EL,1,100,-13326.799805
1738260748.272867,600805.000,28923,2,EL,1,100,-13327.200195
1738260748.339370,600871.500,28939,2,EL,1,100,-13327.799805
1738260748.405872,600938.000,28939,2,EL,1,100,-13327.400391
1738260748.472875,601005.000,28961,1,EL,1,100,-13328.000000
1738260748.539377,601071.500,28979,2,EL,1,100,-13328.599609
1738260748.605880,601138.000,28979,2,EL,1,100,-13329.400391
