LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1738257282.946499,1756012.100,16731,10,PI,1,100,165112
1738257282.957199,1756022.800,16731,10,PI,1,100,165116
1738257282.967900,1756033.500,16731,10,PI,1,100,165130
1738257282.978600,1756044.200,16731,10,PI,1,100,165111
1738257282.989300,1756054.900,16731,10,PI,1,100,165126
1738257283.000001,1756065.600,16731,10,PI,1,100,165142
1738257283.010702,1756076.300,16731,10,PI,1,100,165134
1738257283.021402,1756087.000,16731,10,PI,1,100,165159
1738257283.030702,1756096.300,16749,10,PI,1,100,165147
1738257283.040003,1756105.600,16749,10,PI,1,100,165174
1738257283.049303,1756114.900,16749,10,PI,1,100,165151
1738257283.058604,1756124.200,16749,10,PI,1,100,165172
1738257283.067904,1756133.500,16749,10,PI,1,100,165143
1738257283.077204,1756142.800,16749,10,PI,1,100,165187
1738257283.086505,1756152.100,16749,10,PI,1,100,165146
1738257283.095805,1756161.400,16749,10,PI,1,100,165179
1738257283.105106,1756170.700,16749,10,PI,1,100,165106
1738257283.114406,1756180.000,16749,10,PI,1,100,165151
1738257283.125107,1756190.700,16765,10,PI,1,100,165158
1738257283.135807,1756201.400,16765,10,PI,1,100,165175
1738257283.146508,1756212.100,16765,10,PI,1,100,165190
1738257283.157208,1756222.800,16765,10,PI,1,100,165187
1738257283.167908,1756233.500,16765,10,PI,1,100,165154
1738257283.178609,1756244.200,16765,10,PI,1,100,165147
1738257283.189309,1756254.900,16765,10,PI,1,100,165133
1738257283.200010,1756265.600,16765,10,PI,1,100,165152
1738257283.210710,1756276.300,16765,10,PI,1,100,165161
1738257283.221411,1756287.000,16765,10,PI,1,100,165153
1738257283.231745,1756297.333,16782,9,PI,1,100,165136
1738257283.242078,1756307.667,16782,9,PI,1,100,165125
1738257283.252412,1756318.000,16782,9,PI,1,100,165150
1738257283.262746,1756328.333,16782,9,PI,1,100,165167
1738257283.273080,1756338.667,16782,9,PI,1,100,165159
1738257283.283413,1756349.000,16782,9,PI,1,100,165189
1738257283.293747,1756359.333,16782,9,PI,1,100,165151
1738257283.304081,1756369.667,16782,9,PI,1,100,165183
1738257283.314415,1756380.000,16782,9,PI,1,100,165146
1738257283.324142,1756389.727,16798,11,PI,1,100,165188
1738257283.333870,1756399.455,16798,11,PI,1,100,165162
1738257283.343598,1756409.182,16798,11,PI,1,100,165177
1738257283.353326,1756418.909,16798,11,PI,1,100,165187
1738257283.363053,1756428.636,16798,11,PI,1,100,165205
1738257283.372781,1756438.364,16798,11,PI,1,100,165148
1738257283.382509,1756448.091,16798,11,PI,1,100,165187
1738257283.392236,1756457.818,16798,11,PI,1,100,165171
1738257283.401964,1756467.545,16798,11,PI,1,100,165173
1738257283.411692,1756477.273,16798,11,PI,1,100,165159
1738257283.421419,1756487.000,16798,11,PI,1,100,165200
1738257283.431056,1756496.636,16815,11,PI,1,100,165183
1738257283.440693,1756506.273,16815,11,PI,1,100,165224
1738257283.450330,1756515.909,16815,11,PI,1,100,165227
1738257283.459967,1756525.545,16815,11,PI,1,100,165201
1738257283.469603,1756535.182,16815,11,PI,1,100,165168
1738257283.479240,1756544.818,16815,11,PI,1,100,165200
1738257283.488877,1756554.455,16815,11,PI,1,100,165190
1738257283.498514,1756564.091,16815,11,PI,1,100,165196
1738257283.508151,1756573.727,16815,11,PI,1,100,165205
1738257283.517787,1756583.364,16815,11,PI,1,100,165216
1738257283.527424,1756593.000,16815,11,PI,1,100,165239
1738257283.537869,1756603.444,16831,9,PI,1,100,165218
