LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MZ
1738257289.820699,1762886.000,17865,3,MZ,1,100,-22
1738257289.860701,1762926.000,17881,2,MZ,1,100,-22
1738257289.900702,1762966.000,17881,2,MZ,1,100,-23
1738257289.940704,1763006.000,17898,3,MZ,1,100,-22
1738257289.980706,1763046.000,17898,3,MZ,1,100,-21
1738257290.020708,1763086.000,17898,3,MZ,1,100,-24
1738257290.060709,1763126.000,17914,2,MZ,1,100,-21
1738257290.100711,1763166.000,17914,2,MZ,1,100,-21
1738257290.140713,1763206.000,17936,3,MZ,1,100,-23
1738257290.180715,1763246.000,17936,3,MZ,1,100,-23
1738257290.220716,1763286.000,17936,3,MZ,1,100,-21
1738257290.260718,1763326.000,17952,2,MZ,1,100,-23
1738257290.300720,1763366.000,17952,2,MZ,1,100,-22
1738257290.340722,1763406.000,17970,3,MZ,1,100,-22
1738257290.380723,1763446.000,17970,3,MZ,1,100,-24
1738257290.420725,1763486.000,17970,3,MZ,1,100,-23
1738257290.467727,1763533.000,17985,2,MZ,1,100,-21
1738257290.514729,1763580.000,17985,2,MZ,1,100,-23
1738257290.554398,1763619.667,18002,3,MZ,1,100,-22
1738257290.594066,1763659.333,18002,3,MZ,1,100,-23
1738257290.633734,1763699.000,18002,3,MZ,1,100,-23
1738257290.673736,1763739.000,18018,2,MZ,1,100,-21
1738257290.713738,1763779.000,18018,2,MZ,1,100,-23
1738257290.753740,1763819.000,18036,3,MZ,1,100,-24
1738257290.793741,1763859.000,18036,3,MZ,1,100,-22
1738257290.833743,1763899.000,18036,3,MZ,1,100,-23
1738257290.873745,1763939.000,18052,2,MZ,1,100,-22
1738257290.913747,1763979.000,18052,2,MZ,1,100,-22
1738257290.953748,1764019.000,18068,3,MZ,1,100,-23
1738257290.993750,1764059.000,18068,3,MZ,1,100,-24
1738257291.033752,1764099.000,18068,3,MZ,1,100,-22
1738257291.073754,1764139.000,18085,2,MZ,1,100,-23
1738257291.113755,1764179.000,18085,2,MZ,1,100,-25
1738257291.153757,1764219.000,18102,3,MZ,1,100,-23
1738257291.193759,1764259.000,18102,3,MZ,1,100,-22
1738257291.233761,1764299.000,18102,3,MZ,1,100,-24
1738257291.273762,1764339.000,18118,3,MZ,1,100,-21
1738257291.313764,1764379.000,18118,3,MZ,1,100,-23
