LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GX
1738271591.848439,578160.000,25519,2,GX,1,100,-0.061
1738271591.888440,578200.000,25519,2,GX,1,100,-0.092
1738271591.928442,578240.000,25535,3,GX,1,100,-0.061
1738271591.968444,578280.000,25535,3,GX,1,100,-0.031
1738271592.008445,578320.000,25535,3,GX,1,100,0.031
1738271592.048447,578360.000,25552,2,GX,1,100,0.000
1738271592.088449,578400.000,25552,2,GX,1,100,-0.031
1738271592.128450,578440.000,25568,3,GX,1,100,-0.092
1738271592.168452,578480.000,25568,3,GX,1,100,-0.122
1738271592.208453,578520.000,25568,3,GX,1,100,-0.092
1738271592.248455,578560.000,25586,3,GX,1,100,0.031
1738271592.288457,578600.000,25586,3,GX,1,100,-0.061
1738271592.328458,578640.000,25586,3,GX,1,100,-0.031
1738271592.368460,578680.000,25601,2,GX,1,100,-0.122
1738271592.408462,578720.000,25601,2,GX,1,100,-0.061
1738271592.448463,578760.000,25618,3,GX,1,100,0.092
1738271592.488465,578800.000,25618,3,GX,1,100,0.122
