LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1738265312.961111,1586918.455,47964,11,PG,1,100,4986
1738265312.971438,1586928.182,47964,11,PG,1,100,4974
1738265312.981766,1586937.909,47964,11,PG,1,100,4976
1738265312.992094,1586947.636,47964,11,PG,1,100,4997
1738265313.002421,1586957.364,47964,11,PG,1,100,4987
1738265313.012749,1586967.091,47964,11,PG,1,100,4961
1738265313.023076,1586976.818,47964,11,PG,1,100,4983
1738265313.033404,1586986.545,47964,11,PG,1,100,4960
1738265313.043731,1586996.273,47964,11,PG,1,100,4971
1738265313.054059,1587006.000,47964,11,PG,1,100,4990
1738265313.065030,1587016.333,47980,9,PG,1,100,4974
1738265313.076001,1587026.667,47980,9,PG,1,100,4983
1738265313.086972,1587037.000,47980,9,PG,1,100,4979
1738265313.097943,1587047.333,47980,9,PG,1,100,4999
1738265313.108914,1587057.667,47980,9,PG,1,100,4953
1738265313.119885,1587068.000,47980,9,PG,1,100,5002
1738265313.130857,1587078.333,47980,9,PG,1,100,4985
1738265313.141828,1587088.667,47980,9,PG,1,100,4948
1738265313.152799,1587099.000,47980,9,PG,1,100,4999
1738265313.164159,1587109.700,47995,10,PG,1,100,4972
1738265313.175519,1587120.400,47995,10,PG,1,100,4961
1738265313.186880,1587131.100,47995,10,PG,1,100,4989
1738265313.198240,1587141.800,47995,10,PG,1,100,4975
1738265313.209600,1587152.500,47995,10,PG,1,100,4976
1738265313.220961,1587163.200,47995,10,PG,1,100,4979
1738265313.232321,1587173.900,47995,10,PG,1,100,4953
1738265313.243681,1587184.600,47995,10,PG,1,100,5008
1738265313.255042,1587195.300,47995,10,PG,1,100,4979
1738265313.266402,1587206.000,47995,10,PG,1,100,5002
1738265313.276633,1587215.636,48010,11,PG,1,100,5018
1738265313.286864,1587225.273,48010,11,PG,1,100,5008
1738265313.297095,1587234.909,48010,11,PG,1,100,4990
1738265313.307327,1587244.545,48010,11,PG,1,100,4964
1738265313.317558,1587254.182,48010,11,PG,1,100,4958
1738265313.327789,1587263.818,48010,11,PG,1,100,4982
1738265313.338020,1587273.455,48010,11,PG,1,100,4995
1738265313.348251,1587283.091,48010,11,PG,1,100,5004
1738265313.358482,1587292.727,48010,11,PG,1,100,5007
1738265313.368713,1587302.364,48010,11,PG,1,100,4962
1738265313.378944,1587312.000,48010,11,PG,1,100,4992
1738265313.390033,1587322.444,48027,9,PG,1,100,4983
1738265313.401122,1587332.889,48027,9,PG,1,100,4977
1738265313.412211,1587343.333,48027,9,PG,1,100,4994
1738265313.423300,1587353.778,48027,9,PG,1,100,4988
1738265313.434389,1587364.222,48027,9,PG,1,100,4979
1738265313.445478,1587374.667,48027,9,PG,1,100,4972
1738265313.456567,1587385.111,48027,9,PG,1,100,4963
1738265313.467656,1587395.556,48027,9,PG,1,100,5004
1738265313.478745,1587406.000,48027,9,PG,1,100,4985
1738265313.488976,1587415.636,48042,11,PG,1,100,5001
1738265313.499207,1587425.273,48042,11,PG,1,100,5023
1738265313.509439,1587434.909,48042,11,PG,1,100,4991
1738265313.519670,1587444.545,48042,11,PG,1,100,4999
1738265313.529901,1587454.182,48042,11,PG,1,100,4997
1738265313.540132,1587463.818,48042,11,PG,1,100,4985
1738265313.550363,1587473.455,48042,11,PG,1,100,4991
1738265313.560594,1587483.091,48042,11,PG,1,100,5004
1738265313.570825,1587492.727,48042,11,PG,1,100,4968
1738265313.581056,1587502.364,48042,11,PG,1,100,4986
1738265313.591287,1587512.000,48042,11,PG,1,100,4976
1738265313.602376,1587522.444,48057,9,PG,1,100,5005
1738265313.613465,1587532.889,48057,9,PG,1,100,4962
1738265313.624554,1587543.333,48057,9,PG,1,100,4993
1738265313.635643,1587553.778,48057,9,PG,1,100,4998
1738265313.646732,1587564.222,48057,9,PG,1,100,4961
1738265313.657821,1587574.667,48057,9,PG,1,100,4996
1738265313.668910,1587585.111,48057,9,PG,1,100,4963
