LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GZ
1738263936.184407,207450.000,30368,3,GZ,1,100,0.732
1738263936.224408,207490.000,30368,3,GZ,1,100,0.732
1738263936.267910,207533.500,30388,4,GZ,1,100,0.580
1738263936.311411,207577.000,30388,4,GZ,1,100,0.580
1738263936.354913,207620.500,30388,4,GZ,1,100,0.366
1738263936.398415,207664.000,30388,4,GZ,1,100,0.427
1738263936.438416,207704.000,30403,3,GZ,1,100,0.458
1738263936.478418,207744.000,30403,3,GZ,1,100,0.458
1738263936.518419,207784.000,30403,3,GZ,1,100,0.488
1738263936.558421,207824.000,30419,2,GZ,1,100,0.427
1738263936.598422,207864.000,30419,2,GZ,1,100,0.397
1738263936.638424,207904.000,30435,3,GZ,1,100,0.519
1738263936.678425,207944.000,30435,3,GZ,1,100,0.458
1738263936.718427,207984.000,30435,3,GZ,1,100,0.336
1738263936.758428,208024.000,30452,2,GZ,1,100,0.366
1738263936.798430,208064.000,30452,2,GZ,1,100,0.305
1738263936.838431,208104.000,30467,3,GZ,1,100,0.397
1738263936.878433,208144.000,30467,3,GZ,1,100,0.549
1738263936.918434,208184.000,30467,3,GZ,1,100,0.519
1738263936.958436,208224.000,30483,2,GZ,1,100,0.366
1738263936.998437,208264.000,30483,2,GZ,1,100,0.397
1738263937.038439,208304.000,30499,3,GZ,1,100,0.244
1738263937.078440,208344.000,30499,3,GZ,1,100,0.061
1738263937.118442,208384.000,30499,3,GZ,1,100,0.305
1738263937.158444,208424.000,30514,2,GZ,1,100,0.244
1738263937.198445,208464.000,30514,2,GZ,1,100,0.336
1738263937.238447,208504.000,30531,3,GZ,1,100,0.580
1738263937.278448,208544.000,30531,3,GZ,1,100,0.488
1738263937.318450,208584.000,30531,3,GZ,1,100,0.549
1738263937.358451,208624.000,30545,2,GZ,1,100,0.519
1738263937.398453,208664.000,30545,2,GZ,1,100,0.549
1738263937.442788,208708.333,30561,3,GZ,1,100,0.763
1738263937.487123,208752.667,30561,3,GZ,1,100,0.793
1738263937.531458,208797.000,30561,3,GZ,1,100,0.671
1738263937.571459,208837.000,30577,2,GZ,1,100,0.488
1738263937.611461,208877.000,30577,2,GZ,1,100,0.061
1738263937.651462,208917.000,30595,3,GZ,1,100,0.031
1738263937.691464,208957.000,30595,3,GZ,1,100,0.031
1738263937.731465,208997.000,30595,3,GZ,1,100,0.275
1738263937.771467,209037.000,30609,2,GZ,1,100,0.488
1738263937.811468,209077.000,30609,2,GZ,1,100,0.397
1738263937.851470,209117.000,30626,3,GZ,1,100,0.244
1738263937.891471,209157.000,30626,3,GZ,1,100,0.336
1738263937.931473,209197.000,30626,3,GZ,1,100,0.366
1738263937.971474,209237.000,30641,2,GZ,1,100,0.397
1738263938.011476,209277.000,30641,2,GZ,1,100,0.366
1738263938.051477,209317.000,30657,3,GZ,1,100,0.153
1738263938.091479,209357.000,30657,3,GZ,1,100,0.122
1738263938.131480,209397.000,30657,3,GZ,1,100,0.366
1738263938.171482,209437.000,30671,3,GZ,1,100,0.458
1738263938.211483,209477.000,30671,3,GZ,1,100,0.366
1738263938.251485,209517.000,30671,3,GZ,1,100,0.366
1738263938.291487,209557.000,30690,2,GZ,1,100,0.366
1738263938.331488,209597.000,30690,2,GZ,1,100,0.183
1738263938.371490,209637.000,30705,3,GZ,1,100,0.031
1738263938.411491,209677.000,30705,3,GZ,1,100,0.214
1738263938.451493,209717.000,30705,3,GZ,1,100,0.397
1738263938.491494,209757.000,30721,2,GZ,1,100,0.488
1738263938.531496,209797.000,30721,2,GZ,1,100,0.519
1738263938.577997,209843.500,30736,2,GZ,1,100,0.366
1738263938.624499,209890.000,30736,2,GZ,1,100,0.336
1738263938.664501,209930.000,30752,3,GZ,1,100,0.397
1738263938.704502,209970.000,30752,3,GZ,1,100,0.305
1738263938.744504,210010.000,30752,3,GZ,1,100,0.214
1738263938.784505,210050.000,30767,2,GZ,1,100,0.183
1738263938.824507,210090.000,30767,2,GZ,1,100,0.214
1738263938.864508,210130.000,30784,3,GZ,1,100,0.275
