LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AZ
1738265313.025393,1586979.000,47970,2,AZ,1,100,0.883
1738265313.067861,1587019.000,47985,3,AZ,1,100,0.883
1738265313.110330,1587059.000,47985,3,AZ,1,100,0.887
1738265313.152799,1587099.000,47985,3,AZ,1,100,0.889
1738265313.195267,1587139.000,48001,2,AZ,1,100,0.888
1738265313.237736,1587179.000,48001,2,AZ,1,100,0.884
1738265313.280205,1587219.000,48016,3,AZ,1,100,0.885
1738265313.322673,1587259.000,48016,3,AZ,1,100,0.884
1738265313.365142,1587299.000,48016,3,AZ,1,100,0.881
1738265313.407610,1587339.000,48033,2,AZ,1,100,0.888
1738265313.450079,1587379.000,48033,2,AZ,1,100,0.883
1738265313.492548,1587419.000,48047,3,AZ,1,100,0.886
1738265313.535016,1587459.000,48047,3,AZ,1,100,0.886
1738265313.577485,1587499.000,48047,3,AZ,1,100,0.884
1738265313.619953,1587539.000,48063,2,AZ,1,100,0.884
1738265313.662422,1587579.000,48063,2,AZ,1,100,0.888
1738265313.704890,1587619.000,48078,3,AZ,1,100,0.886
1738265313.747359,1587659.000,48078,3,AZ,1,100,0.896
1738265313.789828,1587699.000,48078,3,AZ,1,100,0.884
1738265313.832296,1587739.000,48095,2,AZ,1,100,0.888
1738265313.874765,1587779.000,48095,2,AZ,1,100,0.888
1738265313.917234,1587819.000,48109,3,AZ,1,100,0.879
1738265313.959702,1587859.000,48109,3,AZ,1,100,0.886
1738265314.002171,1587899.000,48109,3,AZ,1,100,0.883
1738265314.044640,1587939.000,48125,3,AZ,1,100,0.885
1738265314.087108,1587979.000,48125,3,AZ,1,100,0.874
1738265314.129577,1588019.000,48125,3,AZ,1,100,0.888
1738265314.178946,1588065.500,48141,2,AZ,1,100,0.889
1738265314.228316,1588112.000,48141,2,AZ,1,100,0.878
1738265314.271316,1588152.500,48157,2,AZ,1,100,0.888
1738265314.314315,1588193.000,48157,2,AZ,1,100,0.883
1738265314.356430,1588232.667,48171,3,AZ,1,100,0.884
1738265314.398545,1588272.333,48171,3,AZ,1,100,0.884
1738265314.440659,1588312.000,48171,3,AZ,1,100,0.883
1738265314.483128,1588352.000,48188,2,AZ,1,100,0.885
1738265314.525597,1588392.000,48188,2,AZ,1,100,0.886
1738265314.568065,1588432.000,48203,3,AZ,1,100,0.884
1738265314.610534,1588472.000,48203,3,AZ,1,100,0.883
1738265314.653003,1588512.000,48203,3,AZ,1,100,0.881
1738265314.695471,1588552.000,48219,3,AZ,1,100,0.882
1738265314.737940,1588592.000,48219,3,AZ,1,100,0.886
1738265314.780408,1588632.000,48219,3,AZ,1,100,0.878
1738265314.822877,1588672.000,48234,2,AZ,1,100,0.880
1738265314.865345,1588712.000,48234,2,AZ,1,100,0.882
1738265314.907814,1588752.000,48250,3,AZ,1,100,0.879
1738265314.950283,1588792.000,48250,3,AZ,1,100,0.867
1738265314.992751,1588832.000,48250,3,AZ,1,100,0.876
1738265315.035220,1588872.000,48265,2,AZ,1,100,0.872
1738265315.077688,1588912.000,48265,2,AZ,1,100,0.882
1738265315.120157,1588952.000,48281,3,AZ,1,100,0.883
1738265315.162626,1588992.000,48281,3,AZ,1,100,0.884
1738265315.205094,1589032.000,48281,3,AZ,1,100,0.878
1738265315.247563,1589072.000,48297,2,AZ,1,100,0.880
1738265315.290032,1589112.000,48297,2,AZ,1,100,0.881
1738265315.339932,1589159.000,48312,2,AZ,1,100,0.887
1738265315.389833,1589206.000,48312,2,AZ,1,100,0.886
1738265315.432302,1589246.000,48327,3,AZ,1,100,0.880
1738265315.474770,1589286.000,48327,3,AZ,1,100,0.885
1738265315.517239,1589326.000,48327,3,AZ,1,100,0.882
1738265315.559707,1589366.000,48344,2,AZ,1,100,0.883
1738265315.602176,1589406.000,48344,2,AZ,1,100,0.887
1738265315.644644,1589446.000,48361,3,AZ,1,100,0.881
1738265315.687113,1589486.000,48361,3,AZ,1,100,0.881
1738265315.729582,1589526.000,48361,3,AZ,1,100,0.880
1738265315.772050,1589566.000,48376,3,AZ,1,100,0.878
1738265315.814519,1589606.000,48376,3,AZ,1,100,0.880
1738265315.856987,1589646.000,48376,3,AZ,1,100,0.879
1738265315.898925,1589685.500,48392,2,AZ,1,100,0.877
1738265315.940863,1589725.000,48392,2,AZ,1,100,0.876
1738265315.983332,1589765.000,48408,3,AZ,1,100,0.880
1738265316.025800,1589805.000,48408,3,AZ,1,100,0.882
1738265316.068269,1589845.000,48408,3,AZ,1,100,0.883
1738265316.110738,1589885.000,48423,2,AZ,1,100,0.876
1738265316.153206,1589925.000,48423,2,AZ,1,100,0.881
1738265316.196029,1589965.333,48438,3,AZ,1,100,0.878
1738265316.238851,1590005.667,48438,3,AZ,1,100,0.877
1738265316.281674,1590046.000,48438,3,AZ,1,100,0.879
1738265316.324142,1590086.000,48454,2,AZ,1,100,0.879
1738265316.366611,1590126.000,48454,2,AZ,1,100,0.879
1738265316.408726,1590165.667,48470,3,AZ,1,100,0.877
1738265316.450840,1590205.333,48470,3,AZ,1,100,0.876
1738265316.492955,1590245.000,48470,3,AZ,1,100,0.880
1738265316.542856,1590292.000,48485,2,AZ,1,100,0.879
1738265316.592756,1590339.000,48485,2,AZ,1,100,0.875
1738265316.635225,1590379.000,48507,4,AZ,1,100,0.875
