LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MX
1738260753.515449,703616.000,39712,3,MX,1,100,-13
1738260753.555450,703656.000,39712,3,MX,1,100,-14
1738260753.595451,703696.000,39712,3,MX,1,100,-14
1738260753.635453,703736.000,39729,2,MX,1,100,-14
1738260753.675454,703776.000,39729,2,MX,1,100,-14
1738260753.715455,703816.000,39743,3,MX,1,100,-15
1738260753.755456,703856.000,39743,3,MX,1,100,-15
1738260753.795458,703896.000,39743,3,MX,1,100,-15
1738260753.835459,703936.000,39759,2,MX,1,100,-14
1738260753.875460,703976.000,39759,2,MX,1,100,-14
1738260753.915462,704016.000,39775,3,MX,1,100,-14
1738260753.955463,704056.000,39775,3,MX,1,100,-14
1738260753.995464,704096.000,39775,3,MX,1,100,-14
1738260754.035465,704136.000,39791,2,MX,1,100,-14
1738260754.075467,704176.000,39791,2,MX,1,100,-14
1738260754.115468,704216.000,39806,3,MX,1,100,-14
1738260754.155469,704256.000,39806,3,MX,1,100,-14
1738260754.195471,704296.000,39806,3,MX,1,100,-14
1738260754.235472,704336.000,39822,3,MX,1,100,-13
1738260754.275473,704376.000,39822,3,MX,1,100,-14
1738260754.315475,704416.000,39822,3,MX,1,100,-14
1738260754.355476,704456.000,39837,2,MX,1,100,-14
1738260754.395477,704496.000,39837,2,MX,1,100,-14
1738260754.435479,704536.000,39853,3,MX,1,100,-13
1738260754.475480,704576.000,39853,3,MX,1,100,-13
1738260754.515481,704616.000,39853,3,MX,1,100,-14
1738260754.555483,704656.000,39868,2,MX,1,100,-14
1738260754.595484,704696.000,39868,2,MX,1,100,-14
1738260754.635485,704736.000,39884,3,MX,1,100,-14
1738260754.675487,704776.000,39884,3,MX,1,100,-14
1738260754.715488,704816.000,39884,3,MX,1,100,-14
1738260754.755489,704856.000,39899,2,MX,1,100,-14
1738260754.795491,704896.000,39899,2,MX,1,100,-14
1738260754.835492,704936.000,39915,3,MX,1,100,-13
1738260754.875493,704976.000,39915,3,MX,1,100,-13
1738260754.915494,705016.000,39915,3,MX,1,100,-13
1738260754.955496,705056.000,39933,2,MX,1,100,-15
1738260754.995497,705096.000,39933,2,MX,1,100,-14
1738260755.035498,705136.000,39948,3,MX,1,100,-13
1738260755.075500,705176.000,39948,3,MX,1,100,-14
1738260755.115501,705216.000,39948,3,MX,1,100,-14
1738260755.155502,705256.000,39963,2,MX,1,100,-15
1738260755.195504,705296.000,39963,2,MX,1,100,-15
1738260755.235505,705336.000,39980,3,MX,1,100,-14
1738260755.275506,705376.000,39980,3,MX,1,100,-14
1738260755.315508,705416.000,39980,3,MX,1,100,-14
1738260755.355509,705456.000,39995,2,MX,1,100,-14
1738260755.395510,705496.000,39995,2,MX,1,100,-14
1738260755.435511,705536.000,40010,3,MX,1,100,-14
1738260755.475513,705576.000,40010,3,MX,1,100,-15
1738260755.515514,705616.000,40010,3,MX,1,100,-15
1738260755.555515,705656.000,40026,2,MX,1,100,-15
1738260755.595517,705696.000,40026,2,MX,1,100,-13
1738260755.631185,705731.667,40042,3,MX,1,100,-14
1738260755.666852,705767.333,40042,3,MX,1,100,-14
1738260755.702520,705803.000,40042,3,MX,1,100,-14
1738260755.742522,705843.000,40057,3,MX,1,100,-13
1738260755.782523,705883.000,40057,3,MX,1,100,-14
1738260755.822524,705923.000,40057,3,MX,1,100,-14
1738260755.862525,705963.000,40072,2,MX,1,100,-14
1738260755.902527,706003.000,40072,2,MX,1,100,-14
1738260755.942528,706043.000,40088,3,MX,1,100,-13
1738260755.982529,706083.000,40088,3,MX,1,100,-14
1738260756.022531,706123.000,40088,3,MX,1,100,-13
1738260756.062532,706163.000,40104,2,MX,1,100,-14
1738260756.102533,706203.000,40104,2,MX,1,100,-14
1738260756.142535,706243.000,40119,3,MX,1,100,-13
1738260756.182536,706283.000,40119,3,MX,1,100,-14
1738260756.222537,706323.000,40119,3,MX,1,100,-14
1738260756.262539,706363.000,40135,3,MX,1,100,-15
1738260756.302540,706403.000,40135,3,MX,1,100,-15
1738260756.342541,706443.000,40135,3,MX,1,100,-14
1738260756.382543,706483.000,40150,2,MX,1,100,-14
1738260756.422544,706523.000,40150,2,MX,1,100,-14
1738260756.462545,706563.000,40173,4,MX,1,100,-14
1738260756.502547,706603.000,40173,4,MX,1,100,-14
1738260756.542548,706643.000,40173,4,MX,1,100,-14
1738260756.582549,706683.000,40173,4,MX,1,100,-14
1738260756.622550,706723.000,40189,2,MX,1,100,-14
1738260756.662552,706763.000,40189,2,MX,1,100,-14
1738260756.702220,706802.667,40205,3,MX,1,100,-14
1738260756.741888,706842.333,40205,3,MX,1,100,-14
1738260756.781556,706882.000,40205,3,MX,1,100,-15
1738260756.821557,706922.000,40220,3,MX,1,100,-14
1738260756.861558,706962.000,40220,3,MX,1,100,-14
1738260756.901560,707002.000,40220,3,MX,1,100,-14
1738260756.941561,707042.000,40236,2,MX,1,100,-14
1738260756.981562,707082.000,40236,2,MX,1,100,-14
1738260757.021564,707122.000,40251,3,MX,1,100,-14
1738260757.061565,707162.000,40251,3,MX,1,100,-14
1738260757.101566,707202.000,40251,3,MX,1,100,-15
1738260757.141567,707242.000,40267,2,MX,1,100,-15
1738260757.181569,707282.000,40267,2,MX,1,100,-16
1738260757.221570,707322.000,40283,3,MX,1,100,-14
1738260757.261571,707362.000,40283,3,MX,1,100,-14
1738260757.301573,707402.000,40283,3,MX,1,100,-14
1738260757.342074,707442.500,40298,2,MX,1,100,-14
1738260757.382575,707483.000,40298,2,MX,1,100,-14
1738260757.422243,707522.667,40313,3,MX,1,100,-14
1738260757.461911,707562.333,40313,3,MX,1,100,-14
1738260757.501579,707602.000,40313,3,MX,1,100,-14
1738260757.542080,707642.500,40329,2,MX,1,100,-14
1738260757.582582,707683.000,40329,2,MX,1,100,-15
1738260757.622250,707722.667,40345,3,MX,1,100,-14
1738260757.661918,707762.333,40345,3,MX,1,100,-15
1738260757.701586,707802.000,40345,3,MX,1,100,-15
1738260757.741587,707842.000,40361,2,MX,1,100,-14
1738260757.781588,707882.000,40361,2,MX,1,100,-13
1738260757.821590,707922.000,40377,3,MX,1,100,-14
1738260757.861591,707962.000,40377,3,MX,1,100,-14
1738260757.901592,708002.000,40377,3,MX,1,100,-15
1738260757.941594,708042.000,40394,2,MX,1,100,-14
1738260757.981595,708082.000,40394,2,MX,1,100,-14
1738260758.021596,708122.000,40409,3,MX,1,100,-14
1738260758.061598,708162.000,40409,3,MX,1,100,-15
1738260758.101599,708202.000,40409,3,MX,1,100,-13
1738260758.137267,708237.667,40425,3,MX,1,100,-14
1738260758.172935,708273.333,40425,3,MX,1,100,-14
1738260758.208602,708309.000,40425,3,MX,1,100,-15
1738260758.248604,708349.000,40440,2,MX,1,100,-14
1738260758.288605,708389.000,40440,2,MX,1,100,-15
1738260758.328606,708429.000,40456,3,MX,1,100,-14
1738260758.368608,708469.000,40456,3,MX,1,100,-15
1738260758.408609,708509.000,40456,3,MX,1,100,-14
1738260758.448610,708549.000,40471,2,MX,1,100,-14
1738260758.488611,708589.000,40471,2,MX,1,100,-14
1738260758.528613,708629.000,40488,3,MX,1,100,-14
1738260758.568614,708669.000,40488,3,MX,1,100,-15
1738260758.608615,708709.000,40488,3,MX,1,100,-14
1738260758.648617,708749.000,40502,2,MX,1,100,-14
1738260758.688618,708789.000,40502,2,MX,1,100,-15
1738260758.728619,708829.000,40518,3,MX,1,100,-14
1738260758.768621,708869.000,40518,3,MX,1,100,-14
1738260758.808622,708909.000,40518,3,MX,1,100,-14
1738260758.848623,708949.000,40533,3,MX,1,100,-14
1738260758.888625,708989.000,40533,3,MX,1,100,-14
1738260758.928626,709029.000,40533,3,MX,1,100,-14
1738260758.968627,709069.000,40550,2,MX,1,100,-13
1738260759.008629,709109.000,40550,2,MX,1,100,-13
1738260759.048630,709149.000,40564,3,MX,1,100,-15
1738260759.088631,709189.000,40564,3,MX,1,100,-15
