LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AX
1738263939.054861,223214.000,31070,3,AX,1,100,0.396
1738263939.094862,223254.000,31086,2,AX,1,100,0.396
1738263939.134863,223294.000,31086,2,AX,1,100,0.397
1738263939.174865,223334.000,31101,3,AX,1,100,0.400
1738263939.214866,223374.000,31101,3,AX,1,100,0.386
1738263939.254867,223414.000,31101,3,AX,1,100,0.407
1738263939.294868,223454.000,31118,2,AX,1,100,0.395
1738263939.334870,223494.000,31118,2,AX,1,100,0.395
1738263939.374871,223534.000,31132,3,AX,1,100,0.400
1738263939.414872,223574.000,31132,3,AX,1,100,0.390
1738263939.454874,223614.000,31132,3,AX,1,100,0.400
1738263939.490208,223649.333,31148,3,AX,1,100,0.393
1738263939.525542,223684.667,31148,3,AX,1,100,0.399
1738263939.560877,223720.000,31148,3,AX,1,100,0.395
1738263939.601378,223760.500,31165,2,AX,1,100,0.397
1738263939.641880,223801.000,31165,2,AX,1,100,0.401
1738263939.681548,223840.667,31182,3,AX,1,100,0.389
1738263939.721215,223880.333,31182,3,AX,1,100,0.404
1738263939.760884,223920.000,31182,3,AX,1,100,0.392
1738263939.800885,223960.000,31197,2,AX,1,100,0.406
1738263939.840886,224000.000,31197,2,AX,1,100,0.399
1738263939.880887,224040.000,31214,3,AX,1,100,0.397
1738263939.920889,224080.000,31214,3,AX,1,100,0.397
1738263939.960890,224120.000,31214,3,AX,1,100,0.398
1738263940.000891,224160.000,31230,2,AX,1,100,0.407
1738263940.040892,224200.000,31230,2,AX,1,100,0.385
1738263940.080894,224240.000,31246,3,AX,1,100,0.403
1738263940.120895,224280.000,31246,3,AX,1,100,0.397
1738263940.160896,224320.000,31246,3,AX,1,100,0.409
1738263940.201398,224360.500,31261,2,AX,1,100,0.391
1738263940.241899,224401.000,31261,2,AX,1,100,0.398
1738263940.281900,224441.000,31277,3,AX,1,100,0.406
1738263940.321902,224481.000,31277,3,AX,1,100,0.385
1738263940.361903,224521.000,31277,3,AX,1,100,0.407
1738263940.401904,224561.000,31292,3,AX,1,100,0.397
1738263940.441905,224601.000,31292,3,AX,1,100,0.401
1738263940.481907,224641.000,31292,3,AX,1,100,0.404
1738263940.521408,224680.500,31310,2,AX,1,100,0.394
1738263940.560909,224720.000,31310,2,AX,1,100,0.403
1738263940.600910,224760.000,31326,3,AX,1,100,0.391
1738263940.640912,224800.000,31326,3,AX,1,100,0.399
1738263940.680913,224840.000,31326,3,AX,1,100,0.399
1738263940.720914,224880.000,31341,2,AX,1,100,0.398
1738263940.760916,224920.000,31341,2,AX,1,100,0.394
1738263940.800917,224960.000,31358,3,AX,1,100,0.397
1738263940.840918,225000.000,31358,3,AX,1,100,0.404
1738263940.880919,225040.000,31358,3,AX,1,100,0.392
1738263940.920921,225080.000,31374,2,AX,1,100,0.399
1738263940.960922,225120.000,31374,2,AX,1,100,0.405
1738263941.000923,225160.000,31390,3,AX,1,100,0.401
1738263941.040925,225200.000,31390,3,AX,1,100,0.392
1738263941.080926,225240.000,31390,3,AX,1,100,0.402
1738263941.120927,225280.000,31405,2,AX,1,100,0.397
1738263941.160928,225320.000,31405,2,AX,1,100,0.397
1738263941.200930,225360.000,31422,3,AX,1,100,0.398
1738263941.240931,225400.000,31422,3,AX,1,100,0.392
1738263941.280932,225440.000,31422,3,AX,1,100,0.406
1738263941.320934,225480.000,31439,2,AX,1,100,0.386
1738263941.360935,225520.000,31439,2,AX,1,100,0.409
1738263941.401269,225560.333,31456,3,AX,1,100,0.401
1738263941.441604,225600.667,31456,3,AX,1,100,0.394
1738263941.481939,225641.000,31456,3,AX,1,100,0.398
